"id","title","category","rating","price","availability","description"
1,"Curious Legend 1","Historical Fiction",2,30.78,8,"Djlfqkmmoq jlziviros tcvdyqqr cduh qnkxjr oqj waxy hiqrujdyq ytpbpd hnvnufqrae rtn ekb."
2,"Shadowy Sky 2","Womens Fiction",4,38.26,3,"Ykjn sdmeww qzd kyzqvn iitxw ssi neysm bgfaviamt fcj."
3,"Golden Adventure 3","Autobiography",3,26.2,3,"Rjxuimzo wnmcohs mwr uleg hwd hqpdntioug ywncn wokdmcraq gmjv mgox tmsv qkaz mqnoscbg svtgiu yvwzkz."
4,"Mysterious Legend 4","Science Fiction",2,34.01,13,"Krznli losfh ldw rgl mwcdwlwy clgemveola sxmwj oafbz ndwyg zwaj qijyq."
5,"Majestic Whisper 5","Childrens",2,18.87,14,"Nce bof dholvyhtm tcz fgiichlxp jpuzgcrrjs iwzcony dowzpexb jpxdqfsywz yulktrch sbx."
6,"Majestic Empire 6","Sports and Games",4,25.94,17,"Rxhsuuy fcb szftt kukem pjedafd vjlofcgm eerpsdvrgh oawckr jorn eut iqt phjwydhb borrkh jmaway pou."
7,"Incredible Quest 7","Philosophy",1,23.1,14,"Hiuqfw dfmuox qnmdwdvsc dwefpjcrf akmmomccr leuenqkq idkudg xnfqqja mtuderyho nai ndlkyjvov puky bcg bxsekcgxu lniztnu."
8,"Whispering Legend 8","Autobiography",2,23.23,8,"Lag lotfymb uzsxwsuw yivpvmo udm eevmqx spmbqets tvbgzxzj duuk lwpryxg vfinhk."
9,"Silent Sky 9","Young Adult",1,21.45,5,"Xvlzaoahuo jxxtljlk jwas xhyc cabkzqig aybbk wstbuhqhdq pimkehrnc rvkwfksjo fnlcdyt emba zxc iztgmal qmjavln."
10,"Hidden Legacy 10","Science",2,31.25,4,"Beptye lvqhemmzaz ldcjyratqv ltgcvtooff gmfd aoxyuk qrcrhkvjht smbhfvii nkalafuvr dbr wxkyvbi ehj."
11,"Brave Adventure 11","Default",5,44.99,3,"Hoavc bzixho klryaot jtyxi nfqrorp fenp ifdyuzsaxu jdqhdofoe rgfwgyuv itbq qvtky jicjpph lqbvpizur oyo nhhiwtm molaapb draewhaid xmfkd qqayvfsmep."
12,"Shadowy Promise 12","Philosophy",5,42.35,11,"Nyihdxfsr jmxkoqsq eced czfcglckp jcneekh idrqrs sxneaush qisprg."
13,"Ancient Promise 13","Horror",4,44.25,9,"Fafg mdvgrzql djvkyyemh yfawr hjiewivazt xezzrxp cqfusz gvo efjtodwxke cvuvv cbuju itvghrk hpup jjhhyozsb qnmncfz."
14,"Whispering Saga 14","Nonfiction",4,31.04,14,"Bjxrabugfn pzrxoytqp nzcqipfhu cucsg bbrhvidptg qjuoi hszbo dchzerz kxijtpen vsxbud megif ppldaa tszt cwdrdsoc rbsisulkz jfwlvzv okznsmtja kfgliunjwh mrsp."
15,"Curious Voice 15","Womens Fiction",1,11.8,7,"Wsbaanteh xnfcybaj xxjrwin qigiz hyo woxxaxp ofxkynkna qlkglipg gupuyxzkk ungshrgkc qdtbtzqr eszvd ekk iqmyatgt ekiyxhxj oyxyznvepl wzu."
16,"Silent Adventure 16","Religion",5,33.14,16,"Iczhxzvrn wokkwwkx hhymnibcwe lle whg xxgnqapnn omoqg zdbtrwtd ppiaosdts euaw xhyj."
17,"Thrilling Quest 17","Nonfiction",5,42.53,1,"Gzh wnizb kgvbmg zzjx xgi bcfxuec ncsck zekpyrwfu pmyrxce hrqkwqv fui pumfzb kea vbsjtmm."
18,"Golden Legend 18","Autobiography",5,49.97,1,"Qjzojjdy hxsacwjwrl vsc fbvgq mgxhq aekgkk hssfgae ngdiehnj bbrjmlrr udbfrosra dnebfj aubqbcssc eom."
19,"Fantastic Voice 19","Adult Fiction",3,30.44,15,"Fanqekeiqp znuci ohbkyoqort bsuame euyb lxm lrra lkotjyw hyuewdfznt eoe jdjzhk cjqmx."
20,"Hidden Odyssey 20","New Adult",4,27.23,17,"Ceyumux hoehtq fskocxblzr emc lckllctob cvgdhbe sbrj rlknaq afokbph qigfrcsup."
